timestamp,myecg,context_myecg,date (Asia/Dhaka)
1.67059E+12,536,{},2022-12-09 18:31:38.715000+06:00
1.67059E+12,472,{},2022-12-09 18:31:37.801000+06:00
1.67059E+12,487,{},2022-12-09 18:31:36.845000+06:00
1.67059E+12,488,{},2022-12-09 18:31:35.051000+06:00
1.67059E+12,514,{},2022-12-09 18:31:34.140000+06:00
1.67059E+12,594,{},2022-12-09 18:31:33.022000+06:00
1.67059E+12,536,{},2022-12-09 18:31:32.914000+06:00
1.67059E+12,556,{},2022-12-09 18:31:31.008000+06:00
1.67059E+12,637,{},2022-12-09 18:31:30.406000+06:00
1.67059E+12,534,{},2022-12-09 18:31:29.003000+06:00
1.67059E+12,506,{},2022-12-09 18:31:28.004000+06:00
1.67059E+12,519,{},2022-12-09 18:31:27.745000+06:00
1.67059E+12,580,{},2022-12-09 18:31:26.783000+06:00
1.67059E+12,486,{},2022-12-09 18:31:25.599000+06:00
1.67059E+12,543,{},2022-12-09 18:31:24.688000+06:00
1.67059E+12,907,{},2022-12-09 18:31:23.826000+06:00
1.67059E+12,555,{},2022-12-09 18:31:22.654000+06:00
1.67059E+12,490,{},2022-12-09 18:31:21.652000+06:00
1.67059E+12,488,{},2022-12-09 18:31:20.566000+06:00
1.67059E+12,568,{},2022-12-09 18:31:19.580000+06:00
1.67059E+12,429,{},2022-12-09 18:31:18.433000+06:00
1.67059E+12,301,{},2022-12-09 18:31:17.428000+06:00
1.67059E+12,759,{},2022-12-09 18:31:16.487000+06:00
1.67059E+12,512,{},2022-12-09 18:31:15.221000+06:00
1.67059E+12,525,{},2022-12-09 18:31:14.204000+06:00
1.67059E+12,516,{},2022-12-09 18:31:13.275000+06:00
1.67059E+12,580,{},2022-12-09 18:31:12.130000+06:00
1.67059E+12,496,{},2022-12-09 18:31:11.101000+06:00
1.67059E+12,545,{},2022-12-09 18:31:10.150000+06:00
1.67059E+12,804,{},2022-12-09 18:31:09.005000+06:00
1.67059E+12,542,{},2022-12-09 18:31:08.058000+06:00
1.67059E+12,607,{},2022-12-09 18:31:07.031000+06:00
1.67059E+12,509,{},2022-12-09 18:31:06.121000+06:00
1.67059E+12,560,{},2022-12-09 18:31:05.239000+06:00
1.67059E+12,512,{},2022-12-09 18:31:04.335000+06:00
1.67059E+12,554,{},2022-12-09 18:31:03.458000+06:00
1.67059E+12,513,{},2022-12-09 18:31:02.118000+06:00
1.67059E+12,502,{},2022-12-09 18:31:01.072000+06:00
1.67059E+12,579,{},2022-12-09 18:31:00.220000+06:00
1.67059E+12,572,{},2022-12-09 18:30:59.389000+06:00
1.67059E+12,554,{},2022-12-09 18:30:58.370000+06:00
1.67059E+12,528,{},2022-12-09 18:30:57.212000+06:00
1.67059E+12,525,{},2022-12-09 18:30:56.285000+06:00
1.67059E+12,510,{},2022-12-09 18:30:55.002000+06:00
1.67059E+12,535,{},2022-12-09 18:30:54.011000+06:00
